mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.43120527267456055,0.01430881199873917,0.012805302937825521,0.0007683623905040399,150,15,"{'n_estimators': 150, 'max_depth': 15}",-66562016853.489105,-71865439911.33214,-73663338118.81718,-70696931627.87947,3014548018.6061406,3
0.14449707667032877,0.023546895065937545,0.0053555965423583984,0.0018044044902447928,100,5,"{'n_estimators': 100, 'max_depth': 5}",-60807443744.26277,-65835804579.86198,-65213951394.87008,-63952399906.33161,2238263805.1135683,1
0.20925394694010416,0.014765672808312322,0.007257382074991862,0.0014313557085142109,100,10,"{'n_estimators': 100, 'max_depth': 10}",-62744396308.79533,-68123488492.83968,-68055670545.76196,-66307851782.46566,2519895633.170779,2
