mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.22746761639912924,0.0059859345803799525,0.0071257750193278,0.0019228647289201103,100,10,"{'n_estimators': 100, 'max_depth': 10}",-62744396308.79533,-68123488492.83968,-68055670545.76196,-66307851782.46566,2519895633.170779,3
0.07008171081542969,0.0037773633773607053,0.003431081771850586,0.0011421849736694644,50,5,"{'n_estimators': 50, 'max_depth': 5}",-60949741063.7999,-65718014187.24211,-65450262913.88329,-64039339388.30843,2187408823.4256816,1
0.30783971150716144,0.012174467829095629,0.008451223373413086,0.0004276751293432157,150,10,"{'n_estimators': 150, 'max_depth': 10}",-62725131119.99307,-67973277461.10971,-67951129150.929886,-66216512577.344215,2468796062.518806,2
