mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3353732426961263,0.00947309660206904,0.008934100468953451,0.0006026319159230793,150,10,"{'n_estimators': 150, 'max_depth': 10}",-62725131119.99307,-67973277461.10971,-67951129150.929886,-66216512577.344215,2468796062.518806,2
0.31357606252034503,0.0240581723795788,0.010950247446695963,0.002480533405607838,100,15,"{'n_estimators': 100, 'max_depth': 15}",-66618648187.70087,-71970532336.76064,-73851499591.33572,-70813560038.59908,3064035849.5292463,3
0.07561930020650227,0.007666426540036134,0.0027046998341878257,0.0009405205365519959,50,5,"{'n_estimators': 50, 'max_depth': 5}",-60949741063.7999,-65718014187.24211,-65450262913.88329,-64039339388.30843,2187408823.4256816,1
